Financial Ratio Edge Case Log
============================================================

ROE | ABB | Dec 2012 | Computed=22.41 | Source=34.90 | Difference=12.49 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENSOL | Mar 2014 | Computed=0.00 | Source=8.59 | Difference=8.59 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIENSOL | Mar 2014 | Computed=0.00 | Source=9.00 | Difference=9.00 | Category=FORMULA_DISCREPANCY
ROE | ADANIENSOL | Mar 2015 | Computed=-0.65 | Source=8.59 | Difference=9.24 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIENSOL | Mar 2015 | Computed=0.96 | Source=9.00 | Difference=8.04 | Category=FORMULA_DISCREPANCY
ROE | ADANIENSOL | Mar 2016 | Computed=13.77 | Source=8.59 | Difference=5.18 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIENSOL | Mar 2016 | Computed=17.74 | Source=9.00 | Difference=8.74 | Category=FORMULA_DISCREPANCY
ROE | ADANIENSOL | Mar 2017 | Computed=14.12 | Source=8.59 | Difference=5.53 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIENSOL | Mar 2017 | Computed=16.82 | Source=9.00 | Difference=7.82 | Category=FORMULA_DISCREPANCY
ROE | ADANIENSOL | Mar 2018 | Computed=18.87 | Source=8.59 | Difference=10.28 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIENSOL | Mar 2018 | Computed=17.82 | Source=9.00 | Difference=8.82 | Category=FORMULA_DISCREPANCY
ROE | ADANIENSOL | Mar 2021 | Computed=14.46 | Source=8.59 | Difference=5.87 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIENSOL | Mar 2021 | Computed=14.06 | Source=9.00 | Difference=5.06 | Category=FORMULA_DISCREPANCY
ROE | ADANIENT | Mar 2013 | Computed=5.69 | Source=13.64 | Difference=7.95 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2016 | Computed=7.47 | Source=13.64 | Difference=6.17 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2017 | Computed=6.54 | Source=13.64 | Difference=7.10 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2018 | Computed=3.94 | Source=13.64 | Difference=9.70 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2019 | Computed=3.43 | Source=13.64 | Difference=10.21 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2020 | Computed=6.14 | Source=13.64 | Difference=7.50 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2021 | Computed=6.10 | Source=13.64 | Difference=7.54 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2022 | Computed=3.54 | Source=13.64 | Difference=10.10 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2023 | Computed=7.33 | Source=13.64 | Difference=6.31 | Category=DATA_SOURCE_ISSUE
ROE | ADANIENT | Mar 2024 | Computed=8.53 | Source=13.64 | Difference=5.11 | Category=DATA_SOURCE_ISSUE
ROE | ADANIGREEN | Mar 2017 | Computed=-3.91 | Source=14.70 | Difference=18.61 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIGREEN | Mar 2017 | Computed=8.70 | Source=96.50 | Difference=87.80 | Category=FORMULA_DISCREPANCY
ROE | ADANIGREEN | Mar 2018 | Computed=-10.29 | Source=14.70 | Difference=24.99 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIGREEN | Mar 2018 | Computed=7.90 | Source=96.50 | Difference=88.60 | Category=FORMULA_DISCREPANCY
ROE | ADANIGREEN | Mar 2019 | Computed=-24.57 | Source=14.70 | Difference=39.27 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIGREEN | Mar 2019 | Computed=12.23 | Source=96.50 | Difference=84.27 | Category=FORMULA_DISCREPANCY
ROE | ADANIGREEN | Mar 2020 | Computed=-2.89 | Source=14.70 | Difference=17.59 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIGREEN | Mar 2020 | Computed=7.77 | Source=96.50 | Difference=88.73 | Category=FORMULA_DISCREPANCY
ROE | ADANIGREEN | Mar 2021 | Computed=8.27 | Source=14.70 | Difference=6.43 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIGREEN | Mar 2021 | Computed=9.97 | Source=96.50 | Difference=86.53 | Category=FORMULA_DISCREPANCY
ROCE | ADANIGREEN | Mar 2022 | Computed=7.25 | Source=96.50 | Difference=89.25 | Category=FORMULA_DISCREPANCY
ROCE | ADANIGREEN | Mar 2023 | Computed=9.16 | Source=96.50 | Difference=87.34 | Category=FORMULA_DISCREPANCY
ROCE | ADANIGREEN | Mar 2024 | Computed=11.49 | Source=96.50 | Difference=85.01 | Category=FORMULA_DISCREPANCY
ROE | ADANIPORTS | Mar 2013 | Computed=25.63 | Source=18.10 | Difference=7.53 | Category=DATA_SOURCE_ISSUE
ROE | ADANIPORTS | Mar 2013 | Computed=25.63 | Source=18.10 | Difference=7.53 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPORTS | Mar 2018 | Computed=18.49 | Source=12.90 | Difference=5.59 | Category=FORMULA_DISCREPANCY
ROCE | ADANIPORTS | Mar 2018 | Computed=18.49 | Source=12.90 | Difference=5.59 | Category=FORMULA_DISCREPANCY
ROE | ADANIPORTS | Mar 2022 | Computed=11.84 | Source=18.10 | Difference=6.26 | Category=DATA_SOURCE_ISSUE
ROE | ADANIPORTS | Mar 2022 | Computed=11.84 | Source=18.10 | Difference=6.26 | Category=DATA_SOURCE_ISSUE
ROE | ADANIPORTS | Mar 2023 | Computed=11.88 | Source=18.10 | Difference=6.22 | Category=DATA_SOURCE_ISSUE
ROE | ADANIPORTS | Mar 2023 | Computed=11.88 | Source=18.10 | Difference=6.22 | Category=DATA_SOURCE_ISSUE
ROE | ADANIPOWER | Mar 2013 | Computed=-53.46 | Source=57.10 | Difference=110.56 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2013 | Computed=2.55 | Source=32.20 | Difference=29.65 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2014 | Computed=-4.45 | Source=57.10 | Difference=61.55 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2014 | Computed=9.33 | Source=32.20 | Difference=22.87 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2015 | Computed=-14.25 | Source=57.10 | Difference=71.35 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2015 | Computed=11.62 | Source=32.20 | Difference=20.58 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2016 | Computed=7.38 | Source=57.10 | Difference=49.72 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2016 | Computed=14.29 | Source=32.20 | Difference=17.91 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2017 | Computed=-205.80 | Source=57.10 | Difference=262.90 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2017 | Computed=4.17 | Source=32.20 | Difference=28.03 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2018 | Computed=-236.56 | Source=57.10 | Difference=293.66 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2018 | Computed=11.52 | Source=32.20 | Difference=20.68 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2019 | Computed=-12.76 | Source=57.10 | Difference=69.86 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2019 | Computed=13.59 | Source=32.20 | Difference=18.61 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2020 | Computed=-35.10 | Source=57.10 | Difference=92.20 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2020 | Computed=9.82 | Source=32.20 | Difference=22.38 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2021 | Computed=9.69 | Source=57.10 | Difference=47.41 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2021 | Computed=16.15 | Source=32.20 | Difference=16.05 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2022 | Computed=26.61 | Source=57.10 | Difference=30.49 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2022 | Computed=20.40 | Source=32.20 | Difference=11.80 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2023 | Computed=35.91 | Source=57.10 | Difference=21.19 | Category=DATA_SOURCE_ISSUE
ROCE | ADANIPOWER | Mar 2023 | Computed=19.82 | Source=32.20 | Difference=12.38 | Category=FORMULA_DISCREPANCY
ROE | ADANIPOWER | Mar 2024 | Computed=48.28 | Source=57.10 | Difference=8.82 | Category=DATA_SOURCE_ISSUE
ROE | AMBUJACEM | Dec 2012 | Computed=14.69 | Source=9.24 | Difference=5.45 | Category=DATA_SOURCE_ISSUE
ROCE | AMBUJACEM | Dec 2012 | Computed=28.70 | Source=12.80 | Difference=15.90 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2013 | Computed=21.65 | Source=12.80 | Difference=8.85 | Category=FORMULA_DISCREPANCY
ROE | AMBUJACEM | Dec 2014 | Computed=14.77 | Source=9.24 | Difference=5.53 | Category=DATA_SOURCE_ISSUE
ROCE | AMBUJACEM | Dec 2014 | Computed=23.29 | Source=12.80 | Difference=10.49 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2015 | Computed=18.39 | Source=12.80 | Difference=5.59 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2016 | Computed=18.25 | Source=12.80 | Difference=5.45 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2017 | Computed=20.26 | Source=12.80 | Difference=7.46 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2018 | Computed=18.93 | Source=12.80 | Difference=6.13 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2019 | Computed=21.55 | Source=12.80 | Difference=8.75 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Dec 2020 | Computed=22.79 | Source=12.80 | Difference=9.99 | Category=FORMULA_DISCREPANCY
ROE | AMBUJACEM | Dec 2021 | Computed=14.64 | Source=9.24 | Difference=5.40 | Category=DATA_SOURCE_ISSUE
ROCE | AMBUJACEM | Dec 2021 | Computed=25.02 | Source=12.80 | Difference=12.22 | Category=FORMULA_DISCREPANCY
ROCE | AMBUJACEM | Mar 2024 | Computed=18.51 | Source=12.80 | Difference=5.71 | Category=FORMULA_DISCREPANCY
ROE | APOLLOHOSP | Mar 2016 | Computed=7.05 | Source=13.81 | Difference=6.76 | Category=DATA_SOURCE_ISSUE
ROE | APOLLOHOSP | Mar 2017 | Computed=3.95 | Source=13.81 | Difference=9.86 | Category=DATA_SOURCE_ISSUE
ROE | APOLLOHOSP | Mar 2018 | Computed=1.85 | Source=13.81 | Difference=11.96 | Category=DATA_SOURCE_ISSUE
ROE | APOLLOHOSP | Mar 2019 | Computed=6.00 | Source=13.81 | Difference=7.81 | Category=DATA_SOURCE_ISSUE
ROCE | APOLLOHOSP | Mar 2020 | Computed=26.14 | Source=17.20 | Difference=8.94 | Category=FORMULA_DISCREPANCY
ROE | APOLLOHOSP | Mar 2021 | Computed=2.98 | Source=13.81 | Difference=10.83 | Category=DATA_SOURCE_ISSUE
ROE | APOLLOHOSP | Mar 2022 | Computed=19.70 | Source=13.81 | Difference=5.89 | Category=DATA_SOURCE_ISSUE
ROCE | APOLLOHOSP | Mar 2022 | Computed=26.39 | Source=17.20 | Difference=9.19 | Category=FORMULA_DISCREPANCY
ROCE | ASIANPAINT | Mar 2013 | Computed=50.92 | Source=41.75 | Difference=9.17 | Category=FORMULA_DISCREPANCY
ROCE | ASIANPAINT | Mar 2014 | Computed=49.63 | Source=41.75 | Difference=7.88 | Category=FORMULA_DISCREPANCY
ROE | ASIANPAINT | Mar 2018 | Computed=24.95 | Source=31.45 | Difference=6.50 | Category=DATA_SOURCE_ISSUE
ROE | ASIANPAINT | Mar 2019 | Computed=23.31 | Source=31.45 | Difference=8.14 | Category=DATA_SOURCE_ISSUE
ROE | ASIANPAINT | Mar 2021 | Computed=25.04 | Source=31.45 | Difference=6.41 | Category=DATA_SOURCE_ISSUE
ROE | ASIANPAINT | Mar 2022 | Computed=22.34 | Source=31.45 | Difference=9.11 | Category=DATA_SOURCE_ISSUE
ROCE | ASIANPAINT | Mar 2022 | Computed=33.12 | Source=41.75 | Difference=8.63 | Category=FORMULA_DISCREPANCY
ROE | ASIANPAINT | Mar 2023 | Computed=26.23 | Source=31.45 | Difference=5.22 | Category=DATA_SOURCE_ISSUE
ROCE | ATGL | Mar 2019 | Computed=34.36 | Source=21.20 | Difference=13.16 | Category=FORMULA_DISCREPANCY
ROE | ATGL | Mar 2020 | Computed=29.64 | Source=20.50 | Difference=9.14 | Category=DATA_SOURCE_ISSUE
ROCE | ATGL | Mar 2020 | Computed=33.65 | Source=21.20 | Difference=12.45 | Category=FORMULA_DISCREPANCY
ROCE | ATGL | Mar 2021 | Computed=29.80 | Source=21.20 | Difference=8.60 | Category=FORMULA_DISCREPANCY
ROE | AXISBANK | Mar 2017 | Computed=6.53 | Source=18.40 | Difference=11.87 | Category=DATA_SOURCE_ISSUE
ROE | AXISBANK | Mar 2018 | Computed=0.43 | Source=18.40 | Difference=17.97 | Category=DATA_SOURCE_ISSUE
ROE | AXISBANK | Mar 2019 | Computed=6.90 | Source=18.40 | Difference=11.50 | Category=DATA_SOURCE_ISSUE
ROE | AXISBANK | Mar 2020 | Computed=1.88 | Source=18.40 | Difference=16.52 | Category=DATA_SOURCE_ISSUE
ROE | AXISBANK | Mar 2021 | Computed=6.36 | Source=18.40 | Difference=12.04 | Category=DATA_SOURCE_ISSUE
ROE | AXISBANK | Mar 2022 | Computed=11.01 | Source=18.40 | Difference=7.39 | Category=DATA_SOURCE_ISSUE
ROE | AXISBANK | Mar 2023 | Computed=7.38 | Source=18.40 | Difference=11.02 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJ-AUTO | Mar 2013 | Computed=38.85 | Source=26.50 | Difference=12.35 | Category=DATA_SOURCE_ISSUE
ROCE | BAJAJ-AUTO | Mar 2013 | Computed=54.35 | Source=33.50 | Difference=20.85 | Category=FORMULA_DISCREPANCY
ROE | BAJAJ-AUTO | Mar 2014 | Computed=33.24 | Source=26.50 | Difference=6.74 | Category=DATA_SOURCE_ISSUE
ROCE | BAJAJ-AUTO | Mar 2014 | Computed=47.30 | Source=33.50 | Difference=13.80 | Category=FORMULA_DISCREPANCY
ROCE | BAJAJ-AUTO | Mar 2015 | Computed=38.87 | Source=33.50 | Difference=5.37 | Category=FORMULA_DISCREPANCY
ROCE | BAJAJ-AUTO | Mar 2016 | Computed=42.35 | Source=33.50 | Difference=8.85 | Category=FORMULA_DISCREPANCY
ROE | BAJAJ-AUTO | Mar 2018 | Computed=20.66 | Source=26.50 | Difference=5.84 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJ-AUTO | Mar 2019 | Computed=21.21 | Source=26.50 | Difference=5.29 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJ-AUTO | Mar 2021 | Computed=17.81 | Source=26.50 | Difference=8.69 | Category=DATA_SOURCE_ISSUE
ROCE | BAJAJ-AUTO | Mar 2021 | Computed=23.76 | Source=33.50 | Difference=9.74 | Category=FORMULA_DISCREPANCY
ROE | BAJAJ-AUTO | Mar 2022 | Computed=20.65 | Source=26.50 | Difference=5.85 | Category=DATA_SOURCE_ISSUE
ROCE | BAJAJ-AUTO | Mar 2022 | Computed=26.45 | Source=33.50 | Difference=7.05 | Category=FORMULA_DISCREPANCY
ROE | BAJAJ-AUTO | Mar 2023 | Computed=20.64 | Source=26.50 | Difference=5.86 | Category=DATA_SOURCE_ISSUE
ROCE | BAJAJ-AUTO | Mar 2023 | Computed=27.70 | Source=33.50 | Difference=5.80 | Category=FORMULA_DISCREPANCY
ROE | BAJAJFINSV | Mar 2013 | Computed=28.38 | Source=11.72 | Difference=16.66 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2014 | Computed=23.53 | Source=11.72 | Difference=11.81 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2015 | Computed=21.72 | Source=11.72 | Difference=10.00 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2016 | Computed=20.41 | Source=11.72 | Difference=8.69 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2017 | Computed=21.36 | Source=11.72 | Difference=9.64 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2018 | Computed=20.39 | Source=11.72 | Difference=8.67 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2019 | Computed=22.64 | Source=11.72 | Difference=10.92 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2020 | Computed=19.15 | Source=11.72 | Difference=7.43 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2021 | Computed=20.56 | Source=11.72 | Difference=8.84 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2022 | Computed=20.66 | Source=11.72 | Difference=8.94 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2023 | Computed=26.31 | Source=11.72 | Difference=14.59 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJFINSV | Mar 2024 | Computed=25.85 | Source=11.72 | Difference=14.13 | Category=DATA_SOURCE_ISSUE
ROE | BAJAJHLDNG | Mar 2022 | Computed=9.63 | Source=14.80 | Difference=5.17 | Category=DATA_SOURCE_ISSUE
ROE | BAJFINANCE | Mar 2018 | Computed=15.75 | Source=22.10 | Difference=6.35 | Category=DATA_SOURCE_ISSUE
ROE | BAJFINANCE | Mar 2020 | Computed=16.28 | Source=22.10 | Difference=5.82 | Category=DATA_SOURCE_ISSUE
ROE | BAJFINANCE | Mar 2021 | Computed=11.97 | Source=22.10 | Difference=10.13 | Category=DATA_SOURCE_ISSUE
ROE | BAJFINANCE | Mar 2022 | Computed=16.08 | Source=22.10 | Difference=6.02 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2015 | Computed=9.40 | Source=16.70 | Difference=7.30 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2016 | Computed=-11.84 | Source=16.70 | Difference=28.54 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2017 | Computed=4.31 | Source=16.70 | Difference=12.39 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2018 | Computed=-3.94 | Source=16.70 | Difference=20.64 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2019 | Computed=2.12 | Source=16.70 | Difference=14.58 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2020 | Computed=1.29 | Source=16.70 | Difference=15.41 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2021 | Computed=1.97 | Source=16.70 | Difference=14.73 | Category=DATA_SOURCE_ISSUE
ROE | BANKBARODA | Mar 2022 | Computed=8.64 | Source=16.70 | Difference=8.06 | Category=DATA_SOURCE_ISSUE
ROE | BEL | Mar 2013 | Computed=15183.33 | Source=26.30 | Difference=15157.03 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2013 | Computed=4303.33 | Source=34.60 | Difference=4268.73 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2014 | Computed=13600.00 | Source=26.30 | Difference=13573.70 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2014 | Computed=4867.86 | Source=34.60 | Difference=4833.26 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2015 | Computed=17100.00 | Source=26.30 | Difference=17073.70 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2015 | Computed=5109.09 | Source=34.60 | Difference=5074.49 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2016 | Computed=11141.67 | Source=26.30 | Difference=11115.37 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2016 | Computed=5313.51 | Source=34.60 | Difference=5278.91 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2017 | Computed=10153.33 | Source=26.30 | Difference=10127.03 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2017 | Computed=5027.27 | Source=34.60 | Difference=4992.67 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2018 | Computed=4616.13 | Source=26.30 | Difference=4589.83 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2018 | Computed=2829.11 | Source=34.60 | Difference=2794.51 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2019 | Computed=3851.02 | Source=26.30 | Difference=3824.72 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2019 | Computed=3106.25 | Source=34.60 | Difference=3071.65 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2020 | Computed=3318.18 | Source=26.30 | Difference=3291.88 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2020 | Computed=2886.87 | Source=34.60 | Difference=2852.27 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2021 | Computed=3559.32 | Source=26.30 | Difference=3533.02 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2021 | Computed=3091.67 | Source=34.60 | Difference=3057.07 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2022 | Computed=3478.26 | Source=26.30 | Difference=3451.96 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2022 | Computed=2815.75 | Source=34.60 | Difference=2781.15 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2023 | Computed=3981.33 | Source=26.30 | Difference=3955.03 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2023 | Computed=3834.21 | Source=34.60 | Difference=3799.61 | Category=FORMULA_DISCREPANCY
ROE | BEL | Mar 2024 | Computed=4744.05 | Source=26.30 | Difference=4717.75 | Category=DATA_SOURCE_ISSUE
ROCE | BEL | Mar 2024 | Computed=4504.72 | Source=34.60 | Difference=4470.12 | Category=FORMULA_DISCREPANCY
ROE | BHARTIARTL | Mar 2013 | Computed=4.50 | Source=14.90 | Difference=10.40 | Category=DATA_SOURCE_ISSUE
ROCE | BHARTIARTL | Mar 2013 | Computed=20.60 | Source=13.10 | Difference=7.50 | Category=FORMULA_DISCREPANCY
ROE | BHARTIARTL | Mar 2014 | Computed=5.05 | Source=14.90 | Difference=9.85 | Category=DATA_SOURCE_ISSUE
ROCE | BHARTIARTL | Mar 2014 | Computed=21.67 | Source=13.10 | Difference=8.57 | Category=FORMULA_DISCREPANCY
ROCE | BHARTIARTL | Mar 2015 | Computed=28.29 | Source=13.10 | Difference=15.19 | Category=FORMULA_DISCREPANCY
ROCE | BHARTIARTL | Mar 2016 | Computed=23.20 | Source=13.10 | Difference=10.10 | Category=FORMULA_DISCREPANCY
ROE | BHARTIARTL | Mar 2017 | Computed=6.29 | Source=14.90 | Difference=8.61 | Category=DATA_SOURCE_ISSUE
ROCE | BHARTIARTL | Mar 2017 | Computed=21.20 | Source=13.10 | Difference=8.10 | Category=FORMULA_DISCREPANCY
ROE | BHARTIARTL | Mar 2018 | Computed=3.14 | Source=14.90 | Difference=11.76 | Category=DATA_SOURCE_ISSUE
ROE | BHARTIARTL | Mar 2019 | Computed=2.36 | Source=14.90 | Difference=12.54 | Category=DATA_SOURCE_ISSUE
ROE | BHARTIARTL | Mar 2020 | Computed=-39.75 | Source=14.90 | Difference=54.65 | Category=DATA_SOURCE_ISSUE
ROCE | BHARTIARTL | Mar 2020 | Computed=-0.52 | Source=13.10 | Difference=13.62 | Category=FORMULA_DISCREPANCY
ROE | BHARTIARTL | Mar 2021 | Computed=-20.97 | Source=14.90 | Difference=35.87 | Category=DATA_SOURCE_ISSUE
ROCE | BHARTIARTL | Mar 2021 | Computed=18.52 | Source=13.10 | Difference=5.42 | Category=FORMULA_DISCREPANCY
ROCE | BHARTIARTL | Mar 2022 | Computed=26.33 | Source=13.10 | Difference=13.23 | Category=FORMULA_DISCREPANCY
ROCE | BHARTIARTL | Mar 2023 | Computed=23.81 | Source=13.10 | Difference=10.71 | Category=FORMULA_DISCREPANCY
ROCE | BHARTIARTL | Mar 2024 | Computed=25.10 | Source=13.10 | Difference=12.00 | Category=FORMULA_DISCREPANCY
ROE | BHEL | Mar 2013 | Computed=21.91 | Source=1.05 | Difference=20.86 | Category=DATA_SOURCE_ISSUE
ROCE | BHEL | Mar 2013 | Computed=31.93 | Source=3.28 | Difference=28.65 | Category=FORMULA_DISCREPANCY
ROE | BHEL | Mar 2014 | Computed=10.56 | Source=1.05 | Difference=9.51 | Category=DATA_SOURCE_ISSUE
ROCE | BHEL | Mar 2014 | Computed=16.36 | Source=3.28 | Difference=13.08 | Category=FORMULA_DISCREPANCY
ROCE | BHEL | Mar 2015 | Computed=9.31 | Source=3.28 | Difference=6.03 | Category=FORMULA_DISCREPANCY
